Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2025-26,2026-01-17,Osasuna,Oviedo,3,2,H,1,1,D,16,13,5,5,14,15,3,6,1,4,1,0
2025-26,2026-01-17,Betis,Villarreal,2,0,H,0,0,D,15,9,6,3,14,13,2,3,3,2,0,1
2025-26,2026-01-18,Getafe,Valencia,0,1,A,0,0,D,14,7,3,1,8,18,9,3,2,3,0,1
2025-26,2026-01-18,Ath Madrid,Alaves,1,0,H,0,0,D,23,8,6,0,13,5,6,6,1,1,0,0
2025-26,2026-01-18,Celta,Vallecano,3,0,H,1,0,H,11,14,7,3,7,14,5,7,4,3,0,1
2025-26,2026-01-18,Sociedad,Barcelona,2,1,H,1,0,H,8,25,6,9,13,8,6,8,3,3,1,0
2025-26,2026-01-19,Elche,Sevilla,2,2,D,1,0,H,10,25,5,8,11,12,9,7,3,1,0,0
2025-26,2026-01-23,Levante,Elche,3,2,H,0,1,A,26,6,6,3,13,13,9,1,2,3,0,0
2025-26,2026-01-24,Vallecano,Osasuna,1,3,A,0,1,A,11,14,4,5,12,15,4,3,2,2,0,0
2025-26,2026-01-24,Valencia,Espanol,3,2,H,1,0,H,10,16,5,6,13,10,2,7,1,5,0,0
2025-26,2026-01-24,Sevilla,Ath Bilbao,2,1,H,1,1,D,10,15,7,3,16,12,5,5,2,1,0,0
2025-26,2026-01-24,Villarreal,Real Madrid,0,2,A,0,0,D,8,14,1,4,19,10,6,6,3,1,0,0
2025-26,2026-01-25,Ath Madrid,Mallorca,3,0,H,1,0,H,17,6,8,1,10,7,10,3,2,1,0,0
2025-26,2026-01-25,Barcelona,Oviedo,3,0,H,0,0,D,15,12,7,3,8,21,10,1,1,2,0,0
2025-26,2026-01-25,Sociedad,Celta,3,1,H,1,0,H,10,17,4,4,7,13,2,9,1,1,1,0
2025-26,2026-01-25,Alaves,Betis,2,1,H,1,0,H,17,18,9,4,17,11,6,4,1,1,0,0
2025-26,2026-01-26,Girona,Getafe,1,1,D,0,0,D,12,8,4,2,13,15,3,4,5,3,0,0
2025-26,2026-01-30,Espanol,Alaves,1,2,A,1,1,D,10,11,3,7,15,15,4,2,0,1,0,0
2025-26,2026-01-31,Oviedo,Girona,1,0,H,0,0,D,8,9,4,1,12,16,4,4,1,1,0,0
2025-26,2026-01-31,Osasuna,Villarreal,2,2,D,2,1,H,15,5,5,4,15,7,6,2,2,2,0,0
2025-26,2026-01-31,Levante,Ath Madrid,0,0,D,0,0,D,10,10,2,4,11,12,4,7,2,1,0,0
2025-26,2026-01-31,Elche,Barcelona,1,3,A,1,2,A,9,30,3,8,15,9,2,8,2,1,0,0
2025-26,2026-02-01,Real Madrid,Vallecano,2,1,H,1,0,H,16,11,6,4,6,18,9,4,2,8,0,2
2025-26,2026-02-01,Betis,Valencia,2,1,H,1,1,D,14,15,2,4,15,13,3,5,0,4,0,0
2025-26,2026-02-01,Getafe,Celta,0,0,D,0,0,D,9,5,2,1,16,14,5,3,1,2,0,0
2025-26,2026-02-01,Ath Bilbao,Sociedad,1,1,D,0,1,A,19,9,4,6,14,14,6,3,4,2,0,1
2025-26,2026-02-02,Mallorca,Sevilla,4,1,H,1,1,D,11,15,7,5,16,8,4,8,1,1,0,0
2025-26,2026-02-06,Celta,Osasuna,1,2,A,0,1,A,18,8,4,2,9,14,7,3,2,2,0,0
2025-26,2026-02-07,Barcelona,Mallorca,3,0,H,1,0,H,24,9,7,4,7,9,12,3,0,0,0,0
2025-26,2026-02-07,Sociedad,Elche,3,1,H,2,1,H,11,11,3,5,14,8,2,4,0,4,0,0
2025-26,2026-02-08,Alaves,Getafe,0,2,A,0,0,D,13,17,5,5,20,20,6,3,2,5,0,0
2025-26,2026-02-08,Ath Bilbao,Levante,4,2,H,2,0,H,22,6,7,3,17,10,4,3,2,1,0,1
2025-26,2026-02-08,Sevilla,Girona,1,1,D,0,1,A,11,15,3,6,16,13,5,7,3,3,0,0
2025-26,2026-02-08,Ath Madrid,Betis,0,1,A,0,1,A,10,8,5,4,12,3,7,3,3,1,0,0
2025-26,2026-02-08,Valencia,Real Madrid,0,2,A,0,0,D,7,11,0,6,10,13,5,8,1,1,0,0
2025-26,2026-02-09,Villarreal,Espanol,4,1,H,2,0,H,10,9,3,2,18,11,5,8,3,3,0,0
2025-26,2026-02-13,Elche,Osasuna,0,0,D,0,0,D,17,6,5,2,13,18,10,3,2,4,0,0
2025-26,2026-02-14,Espanol,Celta,2,2,D,0,1,A,9,14,3,5,9,11,2,2,1,0,0,0
2025-26,2026-02-14,Getafe,Villarreal,2,1,H,1,0,H,5,8,2,2,21,17,3,4,2,3,0,0
2025-26,2026-02-14,Sevilla,Alaves,1,1,D,1,0,H,4,12,2,1,16,13,0,3,5,0,2,0
2025-26,2026-02-14,Real Madrid,Sociedad,4,1,H,3,1,H,11,13,5,3,10,9,4,6,1,1,0,0
2025-26,2026-02-15,Oviedo,Ath Bilbao,1,2,A,1,0,H,7,13,1,4,8,20,2,3,2,3,0,0
2025-26,2026-02-15,Vallecano,Ath Madrid,3,0,H,2,0,H,13,9,9,3,10,13,4,8,1,3,0,0
2025-26,2026-02-15,Levante,Valencia,0,2,A,0,0,D,9,5,1,2,11,10,3,2,3,2,1,0
2025-26,2026-02-15,Mallorca,Betis,1,2,A,0,2,A,14,17,3,8,16,10,7,3,4,3,0,0
2025-26,2026-02-16,Girona,Barcelona,2,1,H,0,0,D,13,27,9,4,10,6,3,7,1,2,1,0
2025-26,2026-02-18,Levante,Villarreal,0,1,A,0,0,D,16,15,4,6,13,20,3,2,3,4,0,0
2025-26,2026-02-20,Ath Bilbao,Elche,2,1,H,0,0,D,18,2,8,2,18,9,4,1,3,3,0,0
2025-26,2026-02-21,Sociedad,Oviedo,3,3,D,0,0,D,15,14,8,6,13,16,7,6,2,1,0,0
2025-26,2026-02-21,Betis,Vallecano,1,1,D,1,1,D,14,12,3,3,14,13,3,5,4,3,0,0
2025-26,2026-02-21,Osasuna,Real Madrid,2,1,H,1,0,H,13,15,2,5,19,10,3,7,2,4,0,0
2025-26,2026-02-21,Ath Madrid,Espanol,4,2,H,1,1,D,18,8,9,2,8,10,5,3,0,1,0,0
2025-26,2026-02-22,Getafe,Sevilla,0,1,A,0,0,D,6,6,3,1,5,18,2,2,1,1,1,0
2025-26,2026-02-22,Barcelona,Levante,3,0,H,2,0,H,22,5,9,2,12,10,13,6,2,1,0,0
2025-26,2026-02-22,Celta,Mallorca,2,0,H,0,0,D,20,1,7,0,11,10,7,2,1,5,0,0
2025-26,2026-02-22,Villarreal,Valencia,2,1,H,2,1,H,12,8,5,3,7,16,5,4,2,4,0,0
2025-26,2026-02-23,Alaves,Girona,2,2,D,1,1,D,17,10,6,5,18,6,7,6,2,2,0,0
2025-26,2026-02-27,Levante,Alaves,2,0,H,0,0,D,22,17,5,7,14,16,10,6,1,6,0,1
2025-26,2026-02-28,Vallecano,Ath Bilbao,1,1,D,1,0,H,15,8,7,2,8,17,5,4,2,3,0,0
2025-26,2026-02-28,Barcelona,Villarreal,4,1,H,2,0,H,19,6,8,1,11,9,3,2,2,1,0,0
2025-26,2026-02-28,Mallorca,Sociedad,0,1,A,0,1,A,6,12,1,2,6,22,3,7,0,2,0,0
2025-26,2026-02-28,Oviedo,Ath Madrid,0,1,A,0,0,D,16,12,6,1,12,6,8,3,2,2,0,0
2025-26,2026-03-01,Elche,Espanol,2,2,D,1,1,D,17,9,9,4,14,23,3,1,1,6,0,1
2025-26,2026-03-01,Valencia,Osasuna,1,0,H,0,0,D,14,8,1,0,14,13,5,4,3,3,0,0
2025-26,2026-03-01,Betis,Sevilla,2,2,D,2,0,H,9,14,2,6,12,15,4,3,3,3,0,0
2025-26,2026-03-01,Girona,Celta,1,2,A,1,0,H,15,7,7,5,9,8,10,6,2,2,0,0
2025-26,2026-03-02,Real Madrid,Getafe,0,1,A,0,1,A,18,9,7,3,11,17,10,2,4,6,1,1
2025-26,2026-03-04,Vallecano,Oviedo,3,0,H,1,0,H,19,8,7,2,10,10,12,2,0,2,0,0
2025-26,2026-03-06,Celta,Real Madrid,1,2,A,1,1,D,8,14,4,3,4,12,1,6,1,2,0,0
2025-26,2026-03-07,Osasuna,Mallorca,2,2,D,0,1,A,22,8,5,4,11,12,8,0,2,5,1,1
2025-26,2026-03-07,Levante,Girona,1,1,D,0,0,D,14,22,4,5,15,9,2,3,2,2,1,0
2025-26,2026-03-07,Ath Madrid,Sociedad,3,2,H,1,1,D,24,7,9,3,6,10,8,1,1,1,0,0
2025-26,2026-03-07,Ath Bilbao,Barcelona,0,1,A,0,0,D,10,7,3,2,11,9,2,4,2,1,0,0
2025-26,2026-03-08,Villarreal,Elche,2,1,H,2,0,H,16,13,7,6,11,16,4,6,1,2,0,0
2025-26,2026-03-08,Getafe,Betis,2,0,H,2,0,H,9,14,5,5,19,8,3,8,3,2,0,0
2025-26,2026-03-08,Sevilla,Vallecano,1,1,D,1,0,H,11,9,2,2,13,15,6,2,1,3,0,0
2025-26,2026-03-08,Valencia,Alaves,3,2,H,0,1,A,19,10,8,4,9,17,10,2,1,6,0,2
2025-26,2026-03-09,Espanol,Oviedo,1,1,D,1,1,D,28,6,9,3,19,13,8,0,3,2,0,0
2025-26,2026-03-13,Alaves,Villarreal,1,1,D,1,0,H,8,10,0,4,19,11,5,2,4,1,0,0
2025-26,2026-03-14,Girona,Ath Bilbao,3,0,H,1,0,H,14,20,6,9,8,16,2,9,0,2,0,0
2025-26,2026-03-14,Ath Madrid,Getafe,1,0,H,1,0,H,16,7,5,3,11,11,10,3,3,3,0,1
2025-26,2026-03-14,Oviedo,Valencia,1,0,H,1,0,H,11,13,6,2,12,11,4,7,3,2,0,0
2025-26,2026-03-14,Real Madrid,Elche,4,1,H,2,0,H,14,11,6,1,11,21,5,4,1,3,0,0
2025-26,2026-03-15,Mallorca,Espanol,2,1,H,0,1,A,26,10,12,2,11,14,5,6,3,3,0,1
2025-26,2026-03-15,Barcelona,Sevilla,5,2,H,3,1,H,13,8,8,4,5,14,3,4,0,1,0,0
2025-26,2026-03-15,Betis,Celta,1,1,D,0,1,A,19,7,6,3,11,16,3,4,2,3,0,0
2025-26,2026-03-15,Sociedad,Osasuna,3,1,H,2,0,H,14,13,6,5,16,11,3,5,3,0,0,0
2025-26,2026-03-16,Vallecano,Levante,1,1,D,0,1,A,18,19,4,5,10,13,5,6,3,5,1,0
2025-26,2026-03-20,Villarreal,Sociedad,3,1,H,3,0,H,21,11,10,4,10,11,4,5,0,2,0,0
2025-26,2026-03-21,Elche,Mallorca,2,1,H,0,0,D,13,11,4,4,12,11,2,2,2,2,0,0
2025-26,2026-03-21,Espanol,Getafe,1,2,A,0,2,A,15,10,5,5,14,20,12,9,2,7,0,0
2025-26,2026-03-21,Levante,Oviedo,4,2,H,2,2,D,20,10,8,2,17,18,3,1,2,3,0,0
2025-26,2026-03-21,Osasuna,Girona,1,0,H,0,0,D,19,5,11,0,18,7,6,2,2,1,0,0
2025-26,2026-03-21,Sevilla,Valencia,0,2,A,0,2,A,13,9,2,4,13,6,1,3,2,1,0,0
2025-26,2026-03-22,Barcelona,Vallecano,1,0,H,1,0,H,15,8,4,4,12,11,6,9,3,4,0,0
2025-26,2026-03-22,Celta,Alaves,3,4,A,3,1,H,12,14,5,6,13,16,4,1,2,2,0,0
2025-26,2026-03-22,Ath Bilbao,Betis,2,1,H,2,0,H,11,11,6,3,10,6,6,5,1,1,0,0
2025-26,2026-03-22,Real Madrid,Ath Madrid,3,2,H,0,1,A,17,13,10,7,2,15,4,1,1,4,1,0
2025-26,2026-04-03,Vallecano,Elche,1,0,H,0,0,D,21,9,5,4,17,9,9,4,0,4,0,1
2025-26,2026-04-04,Sociedad,Levante,2,0,H,1,0,H,18,8,5,4,11,15,11,5,2,3,0,0
2025-26,2026-04-04,Mallorca,Real Madrid,2,1,H,1,0,H,6,15,2,6,16,13,6,4,3,2,0,0
2025-26,2026-04-04,Betis,Espanol,0,0,D,0,0,D,19,8,6,1,12,18,4,3,1,3,0,0
2025-26,2026-04-04,Ath Madrid,Barcelona,1,2,A,1,1,D,6,22,2,8,15,11,1,9,6,2,1,0
2025-26,2026-04-05,Getafe,Ath Bilbao,2,0,H,1,0,H,10,5,6,0,11,11,4,3,3,1,0,0
2025-26,2026-04-05,Valencia,Celta,2,3,A,1,0,H,13,9,4,5,14,21,6,0,1,3,0,0
2025-26,2026-04-05,Oviedo,Sevilla,1,0,H,1,0,H,7,9,4,0,11,12,5,9,5,3,0,1
2025-26,2026-04-05,Alaves,Osasuna,2,2,D,1,1,D,18,8,6,5,7,17,7,1,2,5,0,0
2025-26,2026-04-06,Girona,Villarreal,1,0,H,1,0,H,10,9,2,0,8,9,7,4,2,2,0,0
2025-26,2026-04-10,Real Madrid,Girona,1,1,D,0,0,D,22,10,9,2,9,13,10,1,2,1,0,0
2025-26,2026-04-11,Sociedad,Alaves,3,3,D,2,2,D,12,12,4,2,11,18,9,5,2,4,1,0
2025-26,2026-04-11,Elche,Valencia,1,0,H,0,0,D,8,22,2,8,15,18,5,9,1,1,0,0
2025-26,2026-04-11,Barcelona,Espanol,4,1,H,2,0,H,20,10,10,2,10,18,7,5,3,6,0,0
2025-26,2026-04-11,Sevilla,Ath Madrid,2,1,H,2,1,H,11,13,2,2,7,12,6,6,4,4,0,0
2025-26,2026-04-12,Osasuna,Betis,1,1,D,1,1,D,12,8,4,3,14,12,6,3,3,4,0,0
2025-26,2026-04-12,Mallorca,Vallecano,3,0,H,2,0,H,12,17,4,3,13,11,6,7,1,4,0,0
2025-26,2026-04-12,Celta,Oviedo,0,3,A,0,2,A,9,8,6,5,9,13,4,1,1,2,0,0
2025-26,2026-04-12,Ath Bilbao,Villarreal,1,2,A,0,2,A,18,12,6,6,15,8,15,3,2,3,0,0
2025-26,2026-04-13,Levante,Getafe,1,0,H,0,0,D,22,5,4,1,12,24,8,2,2,7,0,1
2025-26,2026-04-21,Ath Bilbao,Osasuna,1,0,H,1,0,H,7,8,2,3,12,11,5,4,3,2,1,0
2025-26,2026-04-21,Mallorca,Valencia,1,1,D,0,0,D,20,10,8,3,9,12,7,4,0,2,0,0
2025-26,2026-04-21,Girona,Betis,2,3,A,1,1,D,9,7,2,3,11,18,3,1,1,3,0,0
2025-26,2026-04-21,Real Madrid,Alaves,2,1,H,1,0,H,24,19,8,5,14,12,9,6,1,1,0,0
2025-26,2026-04-22,Elche,Ath Madrid,3,2,H,2,2,D,14,6,6,3,11,12,13,3,2,2,0,1
2025-26,2026-04-22,Sociedad,Getafe,0,1,A,0,1,A,13,5,4,0,13,22,6,3,4,5,0,0
2025-26,2026-04-22,Barcelona,Celta,1,0,H,1,0,H,10,6,3,3,13,10,5,3,1,1,0,0
2025-26,2026-04-23,Levante,Sevilla,2,0,H,1,0,H,8,7,3,0,17,16,3,6,3,4,0,0
2025-26,2026-04-23,Vallecano,Espanol,1,0,H,0,0,D,17,15,6,4,12,15,6,5,2,4,0,0
2025-26,2026-04-23,Oviedo,Villarreal,1,1,D,0,1,A,16,7,4,3,9,11,7,0,1,1,0,0
2025-26,2026-04-24,Betis,Real Madrid,1,1,D,0,1,A,19,12,4,8,10,8,7,6,1,2,0,0
2025-26,2026-04-25,Alaves,Mallorca,2,1,H,0,1,A,15,4,4,2,15,14,9,4,2,1,0,0
2025-26,2026-04-25,Getafe,Barcelona,0,2,A,0,1,A,4,13,0,4,15,8,6,3,2,2,0,0
2025-26,2026-04-25,Valencia,Girona,2,1,H,0,0,D,12,7,3,4,22,8,4,4,2,2,0,0
2025-26,2026-04-25,Ath Madrid,Ath Bilbao,3,2,H,0,1,A,6,12,4,4,8,12,3,4,0,0,0,0
2025-26,2026-04-26,Vallecano,Sociedad,3,3,D,1,1,D,24,13,9,8,14,12,6,4,6,4,1,0
2025-26,2026-04-26,Oviedo,Elche,1,2,A,0,2,A,12,4,3,4,21,14,6,1,2,0,0,1
2025-26,2026-04-26,Osasuna,Sevilla,2,1,H,0,0,D,15,8,7,2,11,13,4,4,2,2,0,0
2025-26,2026-04-26,Villarreal,Celta,2,1,H,2,0,H,13,9,4,3,13,16,7,5,3,6,0,0
2025-26,2026-04-27,Espanol,Levante,0,0,D,0,0,D,9,8,3,4,12,15,4,4,3,3,1,0
2025-26,2026-05-01,Girona,Mallorca,0,1,A,0,1,A,14,8,4,4,8,25,5,2,4,2,0,0
2025-26,2026-05-02,Villarreal,Levante,5,1,H,1,0,H,20,12,8,3,14,7,7,3,3,1,0,0
2025-26,2026-05-02,Valencia,Ath Madrid,0,2,A,0,0,D,12,20,0,5,9,12,1,7,1,3,0,0
2025-26,2026-05-02,Alaves,Ath Bilbao,2,4,A,1,0,H,7,9,4,4,8,13,4,7,4,4,0,0
2025-26,2026-05-02,Osasuna,Barcelona,1,2,A,0,0,D,9,13,4,4,9,10,3,7,2,2,0,0
2025-26,2026-05-03,Celta,Elche,3,1,H,2,0,H,6,15,4,4,14,15,4,2,2,1,0,0
2025-26,2026-05-03,Getafe,Vallecano,0,2,A,0,1,A,13,10,3,6,7,22,4,1,3,5,0,0
2025-26,2026-05-03,Betis,Oviedo,3,0,H,2,0,H,10,17,5,5,9,4,5,4,0,0,0,0
2025-26,2026-05-03,Espanol,Real Madrid,0,2,A,0,0,D,17,15,3,5,19,16,5,6,3,4,0,0
2025-26,2026-05-04,Sevilla,Sociedad,1,0,H,0,0,D,19,6,5,0,19,11,3,3,3,1,0,0
2025-26,2026-05-08,Levante,Osasuna,3,2,H,2,2,D,35,5,12,3,11,13,15,1,2,0,0,1
2025-26,2026-05-09,Elche,Alaves,1,1,D,0,0,D,16,12,5,4,15,13,7,3,3,6,0,0
2025-26,2026-05-09,Sevilla,Espanol,2,1,H,0,0,D,21,10,6,5,14,17,4,6,5,5,0,0
2025-26,2026-05-09,Ath Madrid,Celta,0,1,A,0,0,D,20,3,4,1,11,13,10,0,1,2,0,0
2025-26,2026-05-09,Sociedad,Betis,2,2,D,0,1,A,14,14,6,6,12,9,4,3,2,3,0,1
2025-26,2026-05-10,Mallorca,Villarreal,1,1,D,1,1,D,18,7,8,2,17,13,5,4,2,0,0,0
2025-26,2026-05-10,Ath Bilbao,Valencia,0,1,A,0,0,D,14,7,4,3,9,7,13,5,2,3,0,0
2025-26,2026-05-10,Oviedo,Getafe,0,0,D,0,0,D,8,22,4,4,9,16,1,9,2,3,2,0
2025-26,2026-05-10,Barcelona,Real Madrid,2,0,H,2,0,H,10,8,7,1,18,9,4,8,2,4,0,0
2025-26,2026-05-11,Vallecano,Girona,1,1,D,0,0,D,18,9,5,5,10,9,9,5,1,1,0,0
2025-26,2026-05-12,Celta,Levante,2,3,A,1,1,D,11,14,6,6,7,10,4,4,0,2,0,0
2025-26,2026-05-12,Betis,Elche,2,1,H,1,1,D,16,8,7,2,16,13,8,1,3,3,0,1
2025-26,2026-05-12,Osasuna,Ath Madrid,1,2,A,0,1,A,23,5,5,4,15,12,8,4,6,5,0,1
2025-26,2026-05-13,Espanol,Ath Bilbao,2,0,H,0,0,D,12,11,5,4,9,14,8,9,0,0,0,0
2025-26,2026-05-13,Villarreal,Sevilla,2,3,A,2,2,D,6,13,4,5,11,9,6,4,2,1,0,0
2025-26,2026-05-13,Alaves,Barcelona,1,0,H,1,0,H,9,8,3,0,14,8,6,4,1,2,0,0
2025-26,2026-05-13,Getafe,Mallorca,3,1,H,2,0,H,6,9,4,2,17,18,3,3,3,4,0,0
2025-26,2026-05-14,Valencia,Vallecano,1,1,D,1,1,D,12,6,3,3,9,20,5,1,1,1,0,0
2025-26,2026-05-14,Girona,Sociedad,1,1,D,0,1,A,29,6,4,2,13,19,6,3,2,7,0,0
2025-26,2026-05-14,Real Madrid,Oviedo,2,0,H,1,0,H,19,9,7,1,7,14,4,5,0,0,0,0
2025-26,2026-05-17,Ath Bilbao,Celta,1,1,D,0,1,A,27,3,9,2,14,11,5,0,2,2,0,0
2025-26,2026-05-17,Ath Madrid,Girona,1,0,H,1,0,H,17,25,4,11,7,9,9,8,2,0,0,0
2025-26,2026-05-17,Elche,Getafe,1,0,H,1,0,H,10,4,3,0,18,13,4,0,3,1,0,1
2025-26,2026-05-17,Levante,Mallorca,2,0,H,1,0,H,15,8,3,3,11,15,4,6,2,0,1,1
2025-26,2026-05-17,Osasuna,Espanol,1,2,A,0,1,A,24,7,8,3,10,13,9,2,1,2,0,0
2025-26,2026-05-17,Oviedo,Alaves,0,1,A,0,1,A,8,7,0,1,13,18,5,2,3,1,0,0
2025-26,2026-05-17,Sevilla,Real Madrid,0,1,A,0,1,A,14,12,6,1,18,12,4,4,4,0,0,0
2025-26,2026-05-17,Sociedad,Valencia,3,4,A,1,2,A,8,13,3,6,13,11,3,2,4,0,0,1
2025-26,2026-05-17,Vallecano,Villarreal,2,0,H,1,0,H,15,11,7,2,12,10,1,9,2,1,0,0
2025-26,2026-05-17,Barcelona,Betis,3,1,H,1,0,H,15,7,9,2,7,8,6,4,1,0,0,0
2025-26,2026-05-23,Alaves,Vallecano,1,2,A,1,0,H,19,15,11,7,13,14,10,5,3,3,0,0
2025-26,2026-05-23,Betis,Levante,2,1,H,1,1,D,18,15,8,7,11,7,4,8,1,2,0,0
2025-26,2026-05-23,Celta,Sevilla,1,0,H,0,0,D,12,9,3,2,11,20,4,3,1,1,0,0
2025-26,2026-05-23,Espanol,Sociedad,1,1,D,0,1,A,17,9,8,4,11,17,3,5,1,3,0,0
2025-26,2026-05-23,Getafe,Osasuna,1,0,H,0,0,D,6,11,3,5,17,20,2,4,1,2,0,0
2025-26,2026-05-23,Girona,Elche,1,1,D,0,1,A,10,3,7,1,20,20,2,1,4,4,0,0
2025-26,2026-05-23,Mallorca,Oviedo,3,0,H,1,0,H,23,7,7,0,10,8,5,5,2,1,0,0
2025-26,2026-05-23,Real Madrid,Ath Bilbao,4,2,H,2,1,H,13,8,8,2,6,20,2,1,2,0,0,0
2025-26,2026-05-23,Valencia,Barcelona,3,1,H,0,0,D,19,11,6,4,11,8,7,8,2,2,0,0
2025-26,2026-05-24,Villarreal,Ath Madrid,5,1,H,4,1,H,14,9,8,4,3,12,5,9,0,1,0,0
